match_id,hltv_match_id,match_number,season,date,event_name,event_type,winner,winner_side,team1_name,team2_name,team1_score,team2_score,hltv_url,detailed_stats_url,scraped_date,team1_opening_kills,team1_opening_deaths,team1_multi_kill_rounds,team1_kast_pct,team1_clutches_won,team1_kills,team1_assists,team1_deaths,team1_adr,team1_swing_pct,team1_rating_3,team2_opening_kills,team2_opening_deaths,team2_multi_kill_rounds,team2_kast_pct,team2_clutches_won,team2_kills,team2_assists,team2_deaths,team2_adr,team2_swing_pct,team2_rating_3
hltv_match_2378464,2378464,1,5,2025-01-20T04:00:00Z,YaLLa Compass Winter 2025 Contenders,Online,BC.Game,team1,BC.Game,JANO,2,0,https://www.hltv.org/matches/2378464/bcgame-vs-jano-yalla-compass-winter-2025-contenders,https://www.hltv.org/stats/matches/111107/bcgame-vs-jano,2025-11-15T15:50:43.583922Z,22,12,44,77.66,1,141,34,87,85.96,4.13,1.42,12,22,21,57.64,1,86,31,141,57.82,-4.13,0.7
hltv_match_2378194,2378194,2,5,2025-01-20T04:00:00Z,ICE Invitational 2025,LAN,M80,team1,M80,Nexus,13,9,https://www.hltv.org/matches/2378194/m80-vs-nexus-ice-invitational-2025,https://www.hltv.org/stats/matches/mapstatsid/190648/m80-vs-nexus,2025-11-15T15:50:44.641984Z,12,10,18,82.74,1,84,36,56,81.26,0.63,1.23,10,12,14,59.08,1,56,19,85,61.58,-0.63,0.83
hltv_match_2378393,2378393,3,5,2025-01-19T21:00:00Z,CCT Season 2 North America Series 4,Online,Mythic,team1,Mythic,Unjustified fe,2,0,https://www.hltv.org/matches/2378393/mythic-vs-unjustified-fe-cct-season-2-north-america-series-4,https://www.hltv.org/stats/matches/111105/mythic-vs-unjustified-fe,2025-11-15T15:50:45.690454Z,17,19,47,80.02,4,153,49,105,87.92,3.4,1.41,19,17,23,61.1,1,104,41,153,67.48,-3.4,0.8
hltv_match_2378436,2378436,4,5,2025-01-19T19:30:00Z,CCT Season 2 South America Series 6,Online,E-Xolos LAZER,team1,E-Xolos LAZER,Players,2,0,https://www.hltv.org/matches/2378436/e-xolos-lazer-vs-players-cct-season-2-south-america-series-6,https://www.hltv.org/stats/matches/111104/e-xolos-lazer-vs-players,2025-11-15T15:50:46.816754Z,26,20,39,76.1,4,167,68,144,78.28,1.27,1.17,20,26,38,68.24,4,144,43,169,68.88,-1.27,0.98
hltv_match_2378392,2378392,5,5,2025-01-19T18:00:00Z,CCT Season 2 North America Series 4,Online,InControl,team1,InControl,Revel,2,1,https://www.hltv.org/matches/2378392/incontrol-vs-revel-cct-season-2-north-america-series-4,https://www.hltv.org/stats/matches/111103/incontrol-vs-revel,2025-11-15T15:50:47.851049Z,32,27,51,73.92,4,214,84,193,79.18,0.8,1.15,27,32,45,68.14,4,191,64,215,72.96,-0.8,0.97
hltv_match_2378435,2378435,6,5,2025-01-19T16:30:00Z,CCT Season 2 South America Series 6,Online,Tropa do Taco,team1,Tropa do Taco,Bad News Chickens,2,0,https://www.hltv.org/matches/2378435/tropa-do-taco-vs-bad-news-chickens-cct-season-2-south-america-series-6,https://www.hltv.org/stats/matches/111102/tropa-do-taco-vs-bad-news-chickens,2025-11-15T15:50:49.006252Z,29,18,47,71.48,1,169,56,138,77.78,2.37,1.21,18,29,32,63.4,1,138,56,169,67.24,-2.37,0.85
hltv_match_2378225,2378225,7,5,2025-01-19T14:35:00Z,BLAST Bounty 2025 Season 1,LAN,G2,team2,BIG,G2,1,2,https://www.hltv.org/matches/2378225/big-vs-g2-blast-bounty-2025-season-1,https://www.hltv.org/stats/matches/111101/big-vs-g2,2025-11-15T15:50:50.108223Z,27,35,44,69.68,2,195,75,215,70.36,-0.5,0.98,35,27,53,75.5,3,215,81,195,74.32,0.5,1.13
hltv_match_2378434,2378434,8,5,2025-01-19T13:30:00Z,CCT Season 2 South America Series 6,Online,UNO MILLE,team1,UNO MILLE,GameHunters,2,0,https://www.hltv.org/matches/2378434/uno-mille-vs-gamehunters-cct-season-2-south-america-series-6,https://www.hltv.org/stats/matches/111100/uno-mille-vs-gamehunters,2025-11-15T15:50:51.311795Z,19,33,41,70.96,6,164,53,159,68.0,0.57,1.02,33,19,35,72.42,1,156,65,165,67.84,-0.62,0.98
hltv_match_2378482,2378482,9,5,2025-01-19T12:30:00Z,Subway Suberior League Winter 2025,Online,Johnny Speeds,team2,Alliance,Johnny Speeds,1,2,https://www.hltv.org/matches/2378482/alliance-vs-johnny-speeds-subway-suberior-league-winter-2025,https://www.hltv.org/stats/matches/111099/alliance-vs-johnny-speeds,2025-11-15T15:50:52.839199Z,36,30,48,74.86,2,217,63,222,73.0,-0.97,1.01,30,36,49,73.94,7,222,71,217,74.54,0.97,1.1
hltv_match_2378413,2378413,10,5,2025-01-19T13:00:00Z,CCT Season 2 Europe Series 16 Closed Qualifier,Online,Rebels,team1,Rebels,JANO,2,0,https://www.hltv.org/matches/2378413/rebels-vs-jano-cct-season-2-europe-series-16-closed-qualifier,https://www.hltv.org/stats/matches/111098/rebels-vs-jano,2025-11-15T15:50:53.951026Z,22,22,43,73.62,1,160,46,127,78.6,2.58,1.26,22,22,28,65.0,0,127,37,162,64.98,-2.6,0.83
