match_id,hltv_match_id,match_number,season,date,event_name,event_type,winner,winner_side,team1_name,team2_name,team1_score,team2_score,hltv_url,detailed_stats_url,scraped_date,team1_opening_kills,team1_opening_deaths,team1_multi_kill_rounds,team1_kast_pct,team1_clutches_won,team1_kills,team1_assists,team1_deaths,team1_adr,team1_swing_pct,team1_rating_3,team2_opening_kills,team2_opening_deaths,team2_multi_kill_rounds,team2_kast_pct,team2_clutches_won,team2_kills,team2_assists,team2_deaths,team2_adr,team2_swing_pct,team2_rating_3
hltv_match_2384330,2384330,1,2,2025-08-11T17:00:00Z,ESL Challenger League Season 50 South America Cup 1,Online,Galorys,team2,Flamengo,Galorys,1,2,https://www.hltv.org/matches/2384330/flamengo-vs-galorys-esl-challenger-league-season-50-south-america-cup-1,https://www.hltv.org/stats/matches/116990/flamengo-vs-galorys,2025-11-15T12:40:19.922807Z,23,29,34,64.6,4,158,68,192,68.06,-0.5,1.02,29,23,47,78.04,3,191,60,158,79.0,0.5,1.12
hltv_match_2384376,2384376,2,2,2025-08-11T18:00:00Z,CCT Season 3 South America Series 3,Online,R2,team2,StragaSonhoS,R2,1,2,https://www.hltv.org/matches/2384376/stragasonhos-vs-r2-cct-season-3-south-america-series-3,https://www.hltv.org/stats/matches/116989/stragasonhos-vs-r2,2025-11-15T12:40:21.176263Z,41,20,54,72.78,3,219,53,196,76.4,0.03,1.09,20,41,48,65.58,2,193,78,221,73.24,-0.03,1.0
hltv_match_2384260,2384260,3,2,2025-08-11T18:10:00Z,CCT Season 3 North America Series 1,Online,BOSS,team1,BOSS,Marca Registrada,2,0,https://www.hltv.org/matches/2384260/boss-vs-marca-registrada-cct-season-3-north-america-series-1,https://www.hltv.org/stats/matches/116988/boss-vs-marca-registrada,2025-11-15T12:40:22.007724Z,22,14,42,86.12,3,155,62,93,89.36,3.79,1.49,14,22,17,57.22,4,93,37,155,61.06,-3.79,0.69
hltv_match_2384331,2384331,4,2,2025-08-11T17:00:00Z,ESL Challenger League Season 50 South America Cup 1,Online,KRÜ,team2,Yawara,KRÜ,0,2,https://www.hltv.org/matches/2384331/yawara-vs-kr-esl-challenger-league-season-50-south-america-cup-1,https://www.hltv.org/stats/matches/116987/yawara-vs-kr,2025-11-15T12:40:23.014206Z,16,24,27,71.57,2,103,37,137,54.1,-2.7,0.79,24,16,35,79.5,0,137,57,103,71.8,2.1,1.18
hltv_match_2384336,2384336,5,2,2025-08-11T17:40:00Z,ESL Challenger League Season 50 South America Cup 1,Online,ex-W7M,team1,ex-W7M,Crashers,2,0,https://www.hltv.org/matches/2384336/ex-w7m-vs-crashers-esl-challenger-league-season-50-south-america-cup-1,https://www.hltv.org/stats/matches/116986/ex-w7m-vs-crashers,2025-11-15T12:40:24.036298Z,20,22,39,73.8,3,154,51,132,80.44,1.45,1.18,22,20,36,66.64,1,132,38,155,72.94,-1.46,0.99
hltv_match_2384332,2384332,6,2,2025-08-11T17:00:00Z,ESL Challenger League Season 50 South America Cup 1,Online,Dusty Roots,team2,Keyd Stars,Dusty Roots,0,2,https://www.hltv.org/matches/2384332/keyd-stars-vs-dusty-roots-esl-challenger-league-season-50-south-america-cup-1,https://www.hltv.org/stats/matches/116985/keyd-stars-vs-dusty-roots,2025-11-15T12:40:25.234860Z,15,27,23,67.6,2,121,50,163,63.54,-1.46,0.87,27,15,39,79.98,1,163,36,121,80.96,1.45,1.26
hltv_match_2384333,2384333,7,2,2025-08-11T17:00:00Z,ESL Challenger League Season 50 South America Cup 1,Online,GameHunters,team2,JERSA,GameHunters,0,2,https://www.hltv.org/matches/2384333/jersa-vs-gamehunters-esl-challenger-league-season-50-south-america-cup-1,https://www.hltv.org/stats/matches/116984/jersa-vs-gamehunters,2025-11-15T12:40:26.076124Z,18,19,23,63.28,1,104,41,143,65.8,-3.12,0.85,19,18,41,78.94,4,143,43,105,82.18,3.11,1.26
hltv_match_2384334,2384334,8,2,2025-08-11T17:00:00Z,ESL Challenger League Season 50 South America Cup 1,Online,SELVA,team1,SELVA,MAGICOS,2,0,https://www.hltv.org/matches/2384334/selva-vs-magicos-esl-challenger-league-season-50-south-america-cup-1,https://www.hltv.org/stats/matches/116983/selva-vs-magicos,2025-11-15T12:40:27.521169Z,23,13,40,82.22,0,153,55,95,87.66,2.93,1.37,13,23,22,57.22,1,93,32,156,61.08,-2.95,0.74
hltv_match_2384261,2384261,9,2,2025-08-11T15:00:00Z,CCT Season 3 North America Series 1,Online,Chicken Coop,team1,Chicken Coop,Legacy Kingdom,2,1,https://www.hltv.org/matches/2384261/chicken-coop-vs-legacy-kingdom-cct-season-3-north-america-series-1,https://www.hltv.org/stats/matches/116982/chicken-coop-vs-legacy-kingdom,2025-11-15T12:40:28.452344Z,26,32,48,72.76,5,202,70,207,77.12,0.65,1.07,32,26,54,71.72,0,207,67,204,77.14,-0.65,1.03
hltv_match_2384375,2384375,10,2,2025-08-11T15:00:00Z,CCT Season 3 South America Series 3,Online,ex-W7M,team1,ex-W7M,ShindeN,2,1,https://www.hltv.org/matches/2384375/ex-w7m-vs-shinden-cct-season-3-south-america-series-3,https://www.hltv.org/stats/matches/116981/ex-w7m-vs-shinden,2025-11-15T12:40:30.043394Z,31,32,54,73.32,2,220,65,200,76.08,0.05,1.06,32,31,42,66.04,3,199,63,221,72.08,-0.05,1.02
